Comments,Surrounding Code Context,Class,Predicted Class
/*(rl.rlim_cur != rl.rlim_max)*/,"
  if(rl.rlim_cur != rl.rlim_max) {



/*(rl.rlim_cur != rl.rlim_max)*/

1. #ifdef OPEN_MAX
2.     if((rl.rlim_cur > 0) &&
3.         (rl.rlim_cur < OPEN_MAX)) {
4.       fprintf(stderr, ""raising soft limit up to OPEN_MAX\n"");
5.       rl.rlim_cur = OPEN_MAX;
6.       if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {",Not Useful,0
/*soft limit minus SAFETY_MARGIN*/,"-5. #ifdef RLIM_INFINITY
-4.   if((rl.rlim_cur > 0) && (rl.rlim_cur != RLIM_INFINITY)) {
-3. #else
-2.   if(rl.rlim_cur > 0) {
-1. #endif

/*soft limit minus SAFETY_MARGIN*/

1.     num_open.rlim_max = rl.rlim_cur - SAFETY_MARGIN;
2.   }
3.   else {",Not Useful,1
"/*free the chunk of memory we were reserving so that it
     becomes becomes available to the test*/","-10.     msnprintf(strbuff1, sizeof(strbuff1), fmt, num_open.rlim_max);
-9.     msnprintf(strbuff, sizeof(strbuff), ""fopen fails with %s fds open"",
-8.               strbuff1);
-7.     fprintf(stderr, ""%s\n"", msgbuff);
-6.     msnprintf(strbuff, sizeof(strbuff), ""fopen fails with lots of fds open"");
-5.     store_errmsg(strbuff, 0);
-4.     close_file_descriptors();
-3.     free(memchunk);
-2.     return -10;
-1.   }

/*free the chunk of memory we were reserving so that it
     becomes becomes available to the test*/

1.   free(memchunk);",Not Useful,0
/*close file descriptors unless instructed to keep them*/,"-1.   free(memchunk);

/*close file descriptors unless instructed to keep them*/

1.   if(!keep_open) {
2.     close_file_descriptors();
3.   }
4.   return 0;
5. }
6. int test(char *URL)
7. {
8.   CURLcode res;
9.   CURL *curl;
10.   if(!strcmp(URL, ""check"")) {",Not Useful,1
/*failure*/,"-10.    * point the resulting soft limit is our limit. Trying to
-9.    * open more than soft limit file descriptors will fail.
-8.    */
-7.   if(rl.rlim_cur != rl.rlim_max) {
-6. #ifdef OPEN_MAX
-5.     if((rl.rlim_cur > 0) &&
-4.         (rl.rlim_cur < OPEN_MAX)) {
-3.       fprintf(stderr, ""raising soft limit up to OPEN_MAX\n"");
-2.       rl.rlim_cur = OPEN_MAX;
-1.       if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {

/*failure*/

1.         store_errmsg(""setrlimit() failed"", errno);
2.         fprintf(stderr, ""%s\n"", msgbuff);
3.         msgbuff[0] = '\0';
4.       }
5.     }
6. #endif
7.     fprintf(stderr, ""raising soft limit up to hard limit\n"");
8.     rl.rlim_cur = rl.rlim_max;
9.     if(setrlimit(RLIMIT_NOFILE, &rl) != 0) {",Not Useful,1
/*defined(HAVE_GETRLIMIT) && defined(HAVE_SETRLIMIT)*/,"-10.     !defined(USE_WINSOCK)       && \
-9.     !defined(FD_SETSIZE)
-8. #error ""this test requires FD_SETSIZE""
-7. #endif
-6. #define SAFETY_MARGIN (11)
-5. #if defined(WIN32) || defined(_WIN32) || defined(MSDOS)
-4. #define DEV_NULL ""NUL""
-3. #else
-2. #define DEV_NULL ""/dev/null""
-1. #endif
#if defined(HAVE_GETRLIMIT) && defined(HAVE_SETRLIMIT)

/*defined(HAVE_GETRLIMIT) && defined(HAVE_SETRLIMIT)*/

1. static int *fd = NULL;
2. static struct rlimit num_open;
3. static char msgbuff[256];
4. static void store_errmsg(const char *msg, int err)
5. {
6.   if(!err)
7.     msnprintf(msgbuff, sizeof(msgbuff), ""%s"", msg);
8.   else
9.     msnprintf(msgbuff, sizeof(msgbuff), ""%s, errno %d, %s"", msg, err,
10.               strerror(err));",Not Useful,1
/*defined(HAVE_GETRLIMIT) && defined(HAVE_SETRLIMIT)*/,"-10.     !defined(USE_WINSOCK)       && \
-9.     !defined(FD_SETSIZE)
-8. #error ""this test requires FD_SETSIZE""
-7. #endif
-6. #define SAFETY_MARGIN (11)
-5. #if defined(WIN32) || defined(_WIN32) || defined(MSDOS)
-4. #define DEV_NULL ""NUL""
-3. #else
-2. #define DEV_NULL ""/dev/null""
-1. #endif
#if defined(HAVE_GETRLIMIT) && defined(HAVE_SETRLIMIT)

/*defined(HAVE_GETRLIMIT) && defined(HAVE_SETRLIMIT)*/

1. static int *fd = NULL;
2. static struct rlimit num_open;
3. static char msgbuff[256];
4. static void store_errmsg(const char *msg, int err)
5. {
6.   if(!err)
7.     msnprintf(msgbuff, sizeof(msgbuff), ""%s"", msg);
8.   else
9.     msnprintf(msgbuff, sizeof(msgbuff), ""%s, errno %d, %s"", msg, err,
10.               strerror(err));",Not Useful,1
/*errno.h value*/,"-5. #include ""getpart.h""
-4. #include ""util.h""
-3. #include ""timeval.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EINVAL",Not Useful,1
/*errno.h value*/,"-5. #include ""getpart.h""
-4. #include ""util.h""
-3. #include ""timeval.h""
-2. #ifdef USE_WINSOCK
-1. #undef  EINTR

/*errno.h value*/

1. #undef  EINVAL",Not Useful,1
/*WIN32*/,"-10.     fclose(logfp);
-9.   }
-8.   else {
-7.     int error = errno;
-6.     fprintf(stderr, ""fopen() failed with error: %d %s\n"",
-5.             error, strerror(error));
-4.     fprintf(stderr, ""Error opening file: %s\n"", serverlogfile);
-3.     fprintf(stderr, ""Msg not logged: %s %s\n"", timebuf, buffer);
-2.   }
-1. }
#ifdef WIN32

/*WIN32*/

111",Not Useful,1
/*USE_WINSOCK*/,"-3. #include ""getpart.h""
-2. #include ""util.h""
-1. #include ""timeval.h""
#ifdef USE_WINSOCK

/*USE_WINSOCK*/

1. #undef  EINTR",Not Useful,1
/*set by the main code to point to where the test dir is*/,"-3.   _flushall();
-2. }

/*set by the main code to point to where the test dir is*/

1. const char *path = ""."";
2. FILE *test2fopen(long testno)
3. {
4.   FILE *stream;
5.   char filename[256];",Not Useful,1
"/** Portable function used for waiting a specific amount of ms.
 * Waiting indefinitely with this function is not allowed, a
 * zero or negative timeout value will return immediately.
 *
 * Return values:
 *   -1 = system call error, or invalid timeout value
 *    0 = specified timeout has elapsed*/","-5.   msnprintf(filename, sizeof(filename), TEST_DATA_PATH, path, testno);
-4.   stream = fopen(filename, ""rb"");
-3.   return stream;
-2. }
-1. /*
 * Portable function used for waiting a specific amount of ms.
 * Waiting indefinitely with this function is not allowed, a
 * zero or negative timeout value will return immediately.
 *
 * Return values:
 *   -1 = system call error, or invalid timeout value
 *    0 = specified timeout has elapsed

/** Portable function used for waiting a specific amount of ms.
 * Waiting indefinitely with this function is not allowed, a
 * zero or negative timeout value will return immediately.
 *
 * Return values:
 *   -1 = system call error, or invalid timeout value
 *    0 = specified timeout has elapsed*/

1.  */
2. int wait_ms(int timeout_ms)
3. {
4. #if !defined(MSDOS) && !defined(USE_WINSOCK)
5. #ifndef HAVE_POLL_FINE
6.   struct timeval pending_tv;
7. #endif
8.   struct timeval initial_tv;
9.   int pending_ms;
10. #endif",Not Useful,1
/*HAVE_POLL_FINE*/,"-10.  * Waiting indefinitely with this function is not allowed, a
-9.  * zero or negative timeout value will return immediately.
-8.  *
-7.  * Return values:
-6.  *   -1 = system call error, or invalid timeout value
-5.  *    0 = specified timeout has elapsed
-4.  */
-3. int wait_ms(int timeout_ms)
-2. {
-1. #if !defined(MSDOS) && !defined(USE_WINSOCK)
#ifndef HAVE_POLL_FINE

/*HAVE_POLL_FINE*/

1.   struct timeval pending_tv;
2. #endif
3.   struct timeval initial_tv;
4.   int pending_ms;
5. #endif
6.   int r = 0;
7.   if(!timeout_ms)
8.     return 0;
9.   if(timeout_ms < 0) {
10.     errno = EINVAL;",Not Useful,0
/*USE_WINSOCK*/,"-3. #include ""getpart.h""
-2. #include ""util.h""
-1. #include ""timeval.h""
#ifdef USE_WINSOCK

/*USE_WINSOCK*/

1. #undef  EINTR",Not Useful,0
/*copy one single byte*/,"-10.   struct WriteThis *pooh = (struct WriteThis *)userp;
-9.   int eof = !*pooh->readptr;
-8.   if(size*nmemb < 1)
-7.     return 0;
-6. #ifndef LIB645
-5.   eof = pooh->sizeleft <= 0;
-4.   if(!eof)
-3.     pooh->sizeleft--;
-2. #endif
-1.   if(!eof) {

/*copy one single byte*/

3.   }",Not Useful,1
/*advance pointer*/,"-10.   int eof = !*pooh->readptr;
-9.   if(size*nmemb < 1)
-8.     return 0;
-7. #ifndef LIB645
-6.   eof = pooh->sizeleft <= 0;
-5.   if(!eof)
-4.     pooh->sizeleft--;
-3. #endif
-2.   if(!eof) {

/*advance pointer*/

2.   }",Not Useful,1
/*we return 1 byte at a time!*/,"-10.   if(size*nmemb < 1)
-9.     return 0;
-8. #ifndef LIB645
-7.   eof = pooh->sizeleft <= 0;
-6.   if(!eof)
-5.     pooh->sizeleft--;
-4. #endif
-3.   if(!eof) {

/*we return 1 byte at a time!*/

1.   }",Not Useful,0
/*no more data left to deliver*/,"-1.   }

/*no more data left to deliver*/

1. #endif
2. }
3. static int once(char *URL, bool oldstyle)
4. {
5.   CURL *curl;
6.   CURLcode res = CURLE_OK;
7.   curl_mime *mime = NULL;
8.   curl_mimepart *part = NULL;
9.   struct WriteThis pooh;
10.   struct WriteThis pooh2;",Not Useful,1
/*new style*/,"-9.   if(oldstyle) {
-8.     res = curl_mime_name(part, ""sendfile"");
-7.     if(!res)
-6.       res = curl_mime_data_cb(part, datasize, read_callback,
-5.                               NULL, NULL, &pooh);
-4.     if(!res)
-3.       res = curl_mime_filename(part, ""postit2.c"");
-2.   }
-1.   else {

/*new style*/

1.     res = curl_mime_name(part, ""sendfile alternative"");
2.     if(!res)
3.       res = curl_mime_data_cb(part, datasize, read_callback,
4.                               NULL, NULL, &pooh);
5.     if(!res)
6.       res = curl_mime_filename(part, ""file name 2"");
7.   }
8.   if(res)
9.     printf(""curl_mime_xxx(1) = %s\n"", curl_easy_strerror(res));
10.   /* Now add the same data with another name and make it not look like",Not Useful,0
/*First set the URL that is about to receive our POST.*/,"-10.     curl_global_cleanup();
-9.     return TEST_ERR_MAJOR_BAD;
-8.   }
-7.   res = curl_mime_name(part, ""somename"");
-6.   if(!res)
-5.     res = curl_mime_filename(part, ""somefile.txt"");
-4.   if(!res)
-3.     res = curl_mime_data(part, ""blah blah"", 9);
-2.   if(res)
-1.     printf(""curl_mime_xxx(5) = %s\n"", curl_easy_strerror(res));

/*First set the URL that is about to receive our POST.*/

1.   test_setopt(curl, CURLOPT_URL, URL);",Not Useful,1
/*send a multi-part mimepost*/,"-1.   test_setopt(curl, CURLOPT_URL, URL);

/*send a multi-part mimepost*/

1.   test_setopt(curl, CURLOPT_MIMEPOST, mime);",Not Useful,1
/*get verbose debug output please*/,"-1.   test_setopt(curl, CURLOPT_MIMEPOST, mime);

/*get verbose debug output please*/

1.   test_setopt(curl, CURLOPT_VERBOSE, 1L);",Not Useful,1
/*include headers in the output*/,"-1.   test_setopt(curl, CURLOPT_VERBOSE, 1L);

/*include headers in the output*/

1.   test_setopt(curl, CURLOPT_HEADER, 1L);",Not Useful,0
"/*Perform the request, res will get the return code*/","-1.   test_setopt(curl, CURLOPT_HEADER, 1L);

/*Perform the request, res will get the return code*/

1.   res = curl_easy_perform(curl);
2. test_cleanup:",Not Useful,1
/*always cleanup*/,"-2.   res = curl_easy_perform(curl);
-1. test_cleanup:

/*always cleanup*/

1.   curl_easy_cleanup(curl);",Not Useful,1
/*now cleanup the mimepost structure*/,"-1.   curl_easy_cleanup(curl);

/*now cleanup the mimepost structure*/

1.   curl_mime_free(mime);
2.   return res;
3. }
4. static int cyclic_add(void)
5. {
6.   CURL *easy = curl_easy_init();
7.   curl_mime *mime = curl_mime_init(easy);
8.   curl_mimepart *part = curl_mime_addpart(mime);
9.   CURLcode a1 = curl_mime_subparts(part, mime);
10.   if(a1 == CURLE_BAD_FUNCTION_ARGUMENT) {",Not Useful,1
/*old*/,"-2. #endif
-1. }
static int once(char *URL, bool oldstyle)

/*old*/

1. {
2.   CURL *curl;
3.   CURLcode res = CURLE_OK;
4.   curl_mime *mime = NULL;
5.   curl_mimepart *part = NULL;
6.   struct WriteThis pooh;
7.   struct WriteThis pooh2;
8.   curl_off_t datasize = -1;
9.   pooh.readptr = data;
10. #ifndef LIB645",Not Useful,1
/*new*/,"-9.   if(oldstyle) {
-8.     res = curl_mime_name(part, ""sendfile"");
-7.     if(!res)
-6.       res = curl_mime_data_cb(part, datasize, read_callback,
-5.                               NULL, NULL, &pooh);
-4.     if(!res)
-3.       res = curl_mime_filename(part, ""postit2.c"");
-2.   }
-1.   else {

/*new*/

1.     res = curl_mime_name(part, ""sendfile alternative"");
2.     if(!res)
3.       res = curl_mime_data_cb(part, datasize, read_callback,
4.                               NULL, NULL, &pooh);
5.     if(!res)
6.       res = curl_mime_filename(part, ""file name 2"");
7.   }
8.   if(res)
9.     printf(""curl_mime_xxx(1) = %s\n"", curl_easy_strerror(res));
10.   /* Now add the same data with another name and make it not look like",Not Useful,0
/*number of threads to fire up in parallel*/,"-10.  * is a known issue the test is no longer built or run. This code is here to
-9.  * allow for testing once someone gets to work on fixing this.
-8.  */
-7. #include ""test.h""
-6. #include ""testutil.h""
-5. #include ""warnless.h""
-4. #include ""memdebug.h""
-3. #ifdef HAVE_PTHREAD_H
-2. #include <pthread.h>
-1. #include <time.h>

/*number of threads to fire up in parallel*/

1. #define NUM_THREADS 67",Not Useful,1
/*for how many seconds each thread will loop*/,"-1. #define NUM_THREADS 67

/*for how many seconds each thread will loop*/

1. #define RUN_FOR_SECONDS 7
2. static pthread_mutex_t connlock;
3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
4. {",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,0
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*unused*/,"-5. #define RUN_FOR_SECONDS 7
-4. static pthread_mutex_t connlock;
-3. static size_t write_db(void *ptr, size_t size, size_t nmemb, void *data)
-2. {

/*unused*/

111",Not Useful,1
/*ignores error*/,"-10. {
-9.   struct initurl *u = (struct initurl *)ptr;
-8.   int i;
-7.   time_t end = time(NULL) + RUN_FOR_SECONDS;
-6.   for(i = 0; time(NULL) < end; i++) {
-5.     CURL *curl = curl_easy_init();
-4.     curl_easy_setopt(curl, CURLOPT_URL, u->url);
-3.     curl_easy_setopt(curl, CURLOPT_VERBOSE, 0L);
-2.     curl_easy_setopt(curl, CURLOPT_SHARE, u->share);
-1.     curl_easy_setopt(curl, CURLOPT_WRITEFUNCTION, write_db);

/*ignores error*/

1.     curl_easy_cleanup(curl);
2.     fprintf(stderr, ""Thread %d transfer %d\n"", u->threadno, i);
3.   }
4.   return NULL;
5. }
6. int test(char *URL)
7. {
8.   pthread_t tid[NUM_THREADS];
9.   int i;
10.   CURLSH *share;",Not Useful,1
/*if this happens things are major weird*/,"-10.   struct_stat file_info;
-9.   if(!libtest_arg2) {
-8.     fprintf(stderr, ""Usage: <url> <file-to-upload>\n"");
-7.     return TEST_ERR_USAGE;
-6.   }
-5.   hd_src = fopen(libtest_arg2, ""rb"");
-4.   if(!hd_src) {
-3.     fprintf(stderr, ""fopen failed with error: %d %s\n"",
-2.             errno, strerror(errno));
-1.     fprintf(stderr, ""Error opening file: %s\n"", libtest_arg2);

/*if this happens things are major weird*/

1.   }",Not Useful,1
/*enable uploading*/,"-7.   curl = curl_easy_init();
-6.   if(!curl) {
-5.     fprintf(stderr, ""curl_easy_init() failed\n"");
-4.     curl_global_cleanup();
-3.     fclose(hd_src);
-2.     return TEST_ERR_MAJOR_BAD;
-1.   }

/*enable uploading*/

1.   test_setopt(curl, CURLOPT_UPLOAD, 1L);",Not Useful,0
/*enable verbose*/,"-1.   test_setopt(curl, CURLOPT_UPLOAD, 1L);

/*enable verbose*/

1.   test_setopt(curl, CURLOPT_VERBOSE, 1L);",Not Useful,1
/*now specify which file to upload*/,"-1.   test_setopt(curl, CURLOPT_URL, URL);

/*now specify which file to upload*/

1.   test_setopt(curl, CURLOPT_READDATA, hd_src);",Not Useful,1
/*Now run off and do what you've been told!*/,"-1.   test_setopt(curl, CURLOPT_READDATA, hd_src);

/*Now run off and do what you've been told!*/

1.   curl_easy_perform(curl);",Not Useful,1
"/*and now upload the exact same again, but without rewinding so it already
     is at end of file*/","-1.   curl_easy_perform(curl);

/*and now upload the exact same again, but without rewinding so it already
     is at end of file*/

1.   res = curl_easy_perform(curl);
2. test_cleanup:",Not Useful,1
/*close the local file*/,"-2.   res = curl_easy_perform(curl);
-1. test_cleanup:

/*close the local file*/

1.   fclose(hd_src);
2.   curl_easy_cleanup(curl);
3.   curl_global_cleanup();
4.   return res;
5. }",Not Useful,0
"/*****************************************************************************
*                      STRUCT DECLARATIONS AND DEFINES                       *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                      STRUCT DECLARATIONS AND DEFINES                       *
*****************************************************************************/

1. *                      STRUCT DECLARATIONS AND DEFINES                       *
2. *****************************************************************************/
3. #ifndef PKTSIZE",Not Useful,1
/*SEGSIZE defined in arpa/tftp.h*/,"-1. #ifndef PKTSIZE

/*SEGSIZE defined in arpa/tftp.h*/

1. #endif
2. struct testcase {",Not Useful,1
/*size of the data in buffer*/,"-3. #endif
-2. struct testcase {

/*size of the data in buffer*/

111",Not Useful,1
/*read pointer into the buffer*/,"-4. #endif
-3. struct testcase {

/*read pointer into the buffer*/

111",Not Useful,1
/*test case number*/,"-6. #endif
-5. struct testcase {

/*test case number*/

111",Not Useful,1
/*number of seconds between each packet*/,"-8. #endif
-7. struct testcase {

/*number of seconds between each packet*/

1. };
2. struct formats {
3.   const char *f_mode;
4.   int f_convert;
5. };
6. struct errmsg {
7.   int e_code;
8.   const char *e_msg;
9. };
10. typedef union {",Not Useful,1
"/*size of data in buffer, or flag*/","-1. struct bf {

/*size of data in buffer, or flag*/

111",Not Useful,0
/*room for data packet*/,"-2. struct bf {

/*room for data packet*/

1. };",Not Useful,1
/*UDP*/,"-10. #define opcode_DATA  3
-9. #define opcode_ACK   4
-8. #define opcode_ERROR 5
-7. #define TIMEOUT      5
-6. #undef MIN
-5. #define MIN(x,y) ((x)<(y)?(x):(y))
-4. #ifndef DEFAULT_LOGFILE
-3. #define DEFAULT_LOGFILE ""log/tftpd.log""
-2. #endif
-1. #define REQUEST_DUMP  ""log/server.input""

/*UDP*/

111",Not Useful,0
"/*****************************************************************************
*                              GLOBAL VARIABLES                              *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                              GLOBAL VARIABLES                              *
*****************************************************************************/

1. *                      STRUCT DECLARATIONS AND DEFINES                       *
2. *****************************************************************************/
3. #ifndef PKTSIZE",Not Useful,0
/*index of next buffer to use*/,"-10.   { EEXISTS,      ""File already exists"" },
-9.   { ENOUSER,      ""No such user"" },
-8.   { -1,           0 }
-7. };
-6. static const struct formats formata[] = {
-5.   { ""netascii"",   1 },
-4.   { ""octet"",      0 },
-3.   { NULL,         0 }
-2. };
-1. static struct bf bfs[2];

/*index of next buffer to use*/

111",Not Useful,0
/*index of buffer in use*/,"-10.   { ENOUSER,      ""No such user"" },
-9.   { -1,           0 }
-8. };
-7. static const struct formats formata[] = {
-6.   { ""netascii"",   1 },
-5.   { ""octet"",      0 },
-4.   { NULL,         0 }
-3. };
-2. static struct bf bfs[2];

/*index of buffer in use*/

111",Not Useful,1
"/*****************************************************************************
*                            FUNCTION PROTOTYPES                             *
*****************************************************************************/","-1. #include ""memdebug.h""
/*****************************************************************************

/*****************************************************************************
*                            FUNCTION PROTOTYPES                             *
*****************************************************************************/

1. *                      STRUCT DECLARATIONS AND DEFINES                       *
2. *****************************************************************************/
3. #ifndef PKTSIZE",Not Useful,0
